"kids","life.survey_1","life.survey_2","life.survey_3","life.survey_4","life.survey_5","life.survey_6","life.survey_7","life.survey_8","life.survey_9","life.survey_10","life.survey_11","life.survey_12","life.survey_13","life.survey_14","life.survey_15","life.survey_16","life.survey_17","life.survey_18","life.survey_19","life.survey_20","life.survey_21","life.survey_22","life.survey_23","life.survey_24","life.survey_25","life.survey_26","life.survey_27","life.survey_28","life.survey_29","life.survey_30","life.survey_31","life.survey_32","life.survey_33","life.survey_34","life.survey_35","life.survey_36","life.survey_37","life.survey_38","life.survey_39","life.survey_40","life.survey_41","life.survey_42","life.survey_43","life.survey_44","life.survey_45","life.survey_46","life.survey_47","life.survey_48","life.survey_49","life.survey_50","life.survey_51","life.survey_52","life.survey_53","life.survey_54","life.survey_55","life.survey_56","life.survey_57","life.survey_58","life.survey_59","life.survey_60","life.survey_61","life.survey_62","life.survey_63","life.survey_64","life.survey_65","life.survey_66","life.survey_67","life.survey_68","life.survey_69","life.survey_70","life.survey_71","life.survey_72","life.survey_73","life.survey_74","life.survey_75","life.survey_76","life.survey_77","life.survey_78","life.survey_79","life.survey_80","life.survey_81","past.year.survey_1","past.year.survey_2","past.year.survey_3","past.year.survey_4","past.year.survey_5","past.year.survey_6","past.year.survey_7","past.year.survey_8","past.year.survey_9","past.year.survey_10","past.year.survey_11","past.year.survey_12","past.year.survey_13","past.year.survey_14","past.year.survey_15","past.year.survey_16","past.year.survey_17","past.year.survey_18","past.year.survey_19","past.year.survey_20","past.year.survey_21","past.year.survey_22","past.year.survey_23","past.year.survey_24","past.year.survey_25","past.year.survey_26","past.year.survey_27","past.year.survey_28","past.year.survey_29","past.year.survey_30","past.year.survey_31","past.year.survey_32","past.year.survey_33","past.year.survey_34","past.year.survey_35","past.year.survey_36","past.year.survey_37","past.year.survey_38","past.year.survey_39","past.year.survey_40","past.year.survey_41","past.year.survey_42","past.year.survey_43","past.year.survey_44","past.year.survey_45","past.year.survey_46","past.year.survey_47","past.year.survey_48","past.year.survey_49","past.year.survey_50","past.year.survey_51","past.year.2_1","past.year.2_2","past.year.2_3","past.year.2_4","past.year.2_5","past.year.2_6","past.year.2_7","past.year.2_8","past.year.2_9","past.year.2_10","past.year.2_11","past.year.2_12","past.year.2_13","past.year.2_14","past.year.2_15","past.year.2_16","past.year.2_17","past.year.2_18","past.year.2_19","past.year.2_20","past.year.have_1","past.year.have_2","past.year.have_3","past.year.have_4","past.year.have_5","past.year.have_6","past.year.have_7","past.year.have_8","divorce","clothes","gender","age","child.age","family.death.age","education","socioeconomic","income","political.views","religious","religious_8_TEXT","relationship.time","weight","covid_NPS_GROUP","covid","work","essential","home","in.person","video.chat","community","media","government_NPS_GROUP","government","return.to.school_NPS_GROUP","return.to.school","contracted","public.health_NPS_GROUP","public.health","distancing_NPS_GROUP","distancing","children.care.now","children.care.past","SelfProtection","DiseaseAvoidance","AffiliationGroup","AffiliationExclusion","AffiliationIndependence","Status","MateSeeking","MateRetentionGeneral","MateRetentionBreakup","KinCareFamily","KinCareChild","Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness","STMO","LTMO","PVDInfect","PVDGerm","Dominance","Prestige","ECRAnxiety","ECRAvoidance","NeedtoBelong","BDW","ChildhoodResources","CurrentResources","ChildhoodStability","Liberal","marital.status","eAmericanIndian","eAsian","eBlack","eHispanic","eWhite","ePacificIslander","eOther","wFullTime","wPartTime","wUnemployedLooking","wUnemployedNotLooking","wStudent","wOther","height"
"No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","No","No","Yes","No","No","No","No",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,1,0,0,0,1,4,1,0,0,0,0,0,2,0,0,0,0,7,0,1,0,0,5,0,0,1,2,3,0,0,0,1,0,6,0,0,1,"No","No","No","No","No","No","No","No","",2,"Male",37,NA,24,"High scool completed or GED","Middle Middle","70,000-79,999","Democrat","Protestant Christian","",7,160,3,9,"No",NA,NA,1,0,"Yes",30,1,2,1,0,0,2,8,3,10,NA,NA,3.66666666666667,5.83333333333333,2.83333333333333,3.33333333333333,5.66666666666667,2.66666666666667,0.833333333333333,7,1.33333333333333,6.33333333333333,NA,1.625,3,5,2.375,2.6,3.9,5,5.57142857142857,5.875,1.875,4.22222222222222,NA,NA,NA,NA,2.25,5.25,5,4,"Committed Relationship",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,67
"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,3,1,0,0,0,0,7,0,0,0,0,1,0,0,0,0,6,0,0,0,0,1,2,0,0,7,"Yes","Yes","Yes","No","No","Yes","No","No","0",2,"Female",57,28,56,"Associates degree","Middle Middle","150,000-199,999","Democrat","Other","Spiritual",9,224,2,8,"Yes","Yes","Yes",50,6,"Yes",60,1,3,1,0,3,3,9,3,10,1,0,6.16666666666667,5.16666666666667,6.16666666666667,1.83333333333333,5.33333333333333,3.33333333333333,0.833333333333333,5.83333333333333,1,6,6.66666666666667,3.375,4.22222222222222,3.88888888888889,3.125,3.4,NA,NA,NA,NA,NA,NA,0.944444444444444,2.83333333333333,3.7,4.08333333333333,5,7,6.66666666666667,6.33333333333333,"Married",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,65
"No","No","Yes","No","Yes","No","No","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No",0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,2,1,1,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,3,"No","No","No","No","No","No","No","No","",2,"Male",34,NA,NA,"Bachelors degree","Lower Middle","20,000-39,999","Republican","Atheist","",1,145,1,3,"No",NA,NA,8,0,"Yes",60,1,4,3,10,0,1,2,1,4,NA,NA,3.5,3.16666666666667,3,2.83333333333333,6.16666666666667,3,2,NA,NA,4.83333333333333,NA,2.125,4.22222222222222,4.55555555555556,1.75,3.4,3.4,2.14285714285714,2.14285714285714,3.875,2.375,4.22222222222222,NA,NA,NA,NA,5,3.75,2.66666666666667,2,"Single",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,72
"Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","No","No","No","Yes",0,0,3,5,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,3,11,0,0,0,5,3,0,0,0,1,0,11,0,0,0,0,7,0,0,0,0,0,0,0,2,4,7,0,0,5,0,1,7,1,0,6,"No","No","No","No","Yes","Yes","No","Yes","10",3,"Male",57,34,37,"Some college","Lower Middle","70,000-79,999","Republican","Protestant Christian","",7,175,3,10,"Sometimes","No","No",0,5,"Yes",120,1,3,1,0,0,1,6,3,10,1,1,6,6.33333333333333,5.5,3.33333333333333,3.83333333333333,3.5,0.833333333333333,6.5,1.66666666666667,6.83333333333333,6.16666666666667,4,4.44444444444444,4.88888888888889,1.875,3.9,NA,NA,NA,NA,NA,NA,0.944444444444444,2.38888888888889,2.6,4,3.75,6.25,6.66666666666667,2.66666666666667,"Committed Relationship",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,71
"No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","No",0,1,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,8,0,0,0,11,0,0,0,0,0,0,0,3,7,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,5,0,0,1,2,6,0,0,0,1,0,6,0,0,4,"Yes","No","No","No","Yes","No","No","No","",5,"Female",40,NA,21,"Bachelors degree","Upper Middle","100,000-149,999","Democrat","Other","Agnostic",7,149,3,10,"No",NA,NA,1,3,"Yes",50,1,0,1,0,0,3,10,3,10,NA,NA,5.16666666666667,5,4.5,2.83333333333333,6,2.5,0.833333333333333,5.83333333333333,1.16666666666667,5.5,NA,3.625,3.66666666666667,3.22222222222222,2.375,3.8,NA,NA,NA,NA,NA,NA,1.05555555555556,1.66666666666667,1.9,1.16666666666667,5.5,6,5,6.33333333333333,"Married",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,65
"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","No","No","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","No",0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,5,0,3,0,0,0,4,7,0,0,0,0,0,0,0,0,2,"No","No","No","No","No","No","Yes","No","",4,"Female",31,26,3,"Bachelors degree","Lower Middle","60,000-69,999","Independent","Other","unsure",8,117,1,3,"No",NA,NA,0,3,"Yes",20,1,0,1,2,0,3,10,3,10,17,17,5.5,6.66666666666667,3.83333333333333,2.66666666666667,5.33333333333333,2.16666666666667,0.833333333333333,6.16666666666667,1.33333333333333,5.33333333333333,6.66666666666667,1.625,4.22222222222222,4.33333333333333,3,4,1,4.28571428571429,2.57142857142857,6.25,1,4.88888888888889,NA,NA,NA,NA,2,4.5,5,6,"Married",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,63
"No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,7,0,0,0,0,0,0,0,1,4,7,0,0,0,0,0,7,0,0,3,"No","No","No","No","No","No","No","No","",2,"Male",46,NA,35,"Bachelors degree","Middle Middle","70,000-79,999","Libertarian","Protestant Christian","",1,165,2,8,"No",NA,NA,35,0,"Yes",90,1,4,3,9,0,2,7,3,10,NA,NA,6.16666666666667,6.16666666666667,5,3,5.66666666666667,4.5,1.5,NA,NA,5.66666666666667,NA,3,2.77777777777778,4.66666666666667,3,3.6,NA,NA,NA,NA,NA,NA,2.61111111111111,4.88888888888889,2.3,3.83333333333333,5,4,5.33333333333333,2,"Single",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,66
"No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","No","No",0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,0,1,0,0,0,0,5,3,3,1,0,5,0,0,2,2,5,0,0,0,0,0,4,0,0,0,"No","No","No","No","Yes","No","No","No","",1,"Male",39,NA,34,"Bachelors degree","Middle Middle","50,000-59,999","Independent","Other","Agnostic",6,130,1,3,"No",NA,NA,0,10,"Yes",10,1,4,1,0,0,1,5,3,9,NA,NA,2.83333333333333,4.5,2,1.16666666666667,7,3.16666666666667,3,3.83333333333333,1.5,5,NA,2.875,1.77777777777778,3.22222222222222,1.375,2,4.9,3.28571428571429,3.14285714285714,5,5.625,6.11111111111111,NA,NA,NA,NA,6.25,5,5.66666666666667,6,"Committed Relationship",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,63
"Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","No","Yes","Yes","Yes","No","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","No","No","Yes","No","No","Yes","No","Yes","No","No","No","No",0,6,0,3,0,0,2,0,0,1,0,7,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,1,0,0,0,2,2,0,0,0,0,0,0,2,10,0,0,0,0,2,2,0,0,0,0,3,3,2,0,0,5,3,3,0,1,5,0,0,0,2,2,0,0,1,1,"No","No","No","No","No","No","No","No","",2,"Male",31,24,NA,"Some college","Middle Middle","50,000-59,999","Independent","Protestant Christian","",7,135,2,7,"No",NA,NA,5,0,"No",60,1,3,1,1,0,2,7,2,7,6,8,6.16666666666667,5.83333333333333,4,5.5,4.16666666666667,4.83333333333333,1.5,6,5.5,5,5,1.75,2.22222222222222,2.11111111111111,4.25,1.6,NA,NA,NA,NA,NA,NA,5.16666666666667,5.5,3.2,4.5,2.25,4,2,5,"Married",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,65
"No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No","No",0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,3,0,0,0,0,7,0,0,0,0,4,0,0,0,4,7,1,2,2,0,0,7,0,0,1,"No","No","Yes","No","No","No","No","No","",3,"Male",33,NA,21,"Bachelors degree","Lower Middle","70,000-79,999","Democrat","Atheist","",6,205,2,7,"No",NA,NA,3,2,"Yes",25,1,1,1,2,0,3,9,3,10,NA,NA,3.33333333333333,6.33333333333333,5.66666666666667,3,3.83333333333333,2.5,1.16666666666667,6,1.33333333333333,5.66666666666667,NA,2.25,4,4.33333333333333,2.375,3.2,4.3,5,1.85714285714286,3.75,1.625,5,NA,NA,NA,NA,4.75,5.25,5.66666666666667,6.66666666666667,"Committed Relationship",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,75
"No","No","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","No","Yes","No","No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,5,0,2,1,0,0,0,0,0,1,0,0,0,0,7,0,0,5,0,1,5,0,1,3,5,0,2,0,0,0,7,0,0,2,"No","No","No","No","No","No","No","No","",2,"Male",33,NA,NA,"Bachelors degree","Middle Middle","40,000-49,999","Democrat","Protestant Christian","",1,185,2,7,"No",NA,NA,NA,6,"Yes",10,1,5,1,2,0,1,5,3,10,NA,NA,3.16666666666667,4.33333333333333,5.66666666666667,1.33333333333333,5.33333333333333,4,3,NA,NA,7,NA,4.875,4.66666666666667,5,1,4.9,NA,NA,NA,NA,NA,NA,0.944444444444444,1,1.4,1.33333333333333,2.75,6.75,5.66666666666667,5.33333333333333,"Single",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,72
"No","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","Yes","No","Yes","No","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","Yes","No","No","Yes","No","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No",5,0,6,3,3,3,0,0,0,0,0,0,6,4,0,7,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,3,0,1,0,3,1,2,0,4,2,0,1,0,1,3,0,2,0,0,4,0,4,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"No","No","No","No","No","No","No","No","",2,"Male",29,NA,NA,"Some high school","Lower Middle","20,000-39,999","Democrat","Atheist","",1,330,2,8,"Yes","Yes","Yes",3,0,"No",15,1,0,1,0,0,3,10,3,10,NA,NA,4,4.16666666666667,3.83333333333333,3.83333333333333,4.16666666666667,3.16666666666667,4.16666666666667,NA,NA,3.83333333333333,NA,3.5,2.44444444444444,3.22222222222222,3.25,3.1,2.9,3,3.71428571428571,4,3.5,4,NA,NA,NA,NA,4.25,2.75,4.33333333333333,5.66666666666667,"Single",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,74
"Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","No","Yes","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,0,0,2,0,7,0,0,0,0,0,6,0,0,0,"No","No","No","No","Yes","Yes","No","No","32",2,"Male",60,27,55,"Some college","Lower Middle","40,000-49,999","Democrat","Protestant Christian","",9,205,2,8,"No",NA,NA,0,0,"Yes",60,1,0,1,0,0,3,9,3,10,0,0,4.33333333333333,6.83333333333333,6.16666666666667,4.16666666666667,3.5,4.5,0.833333333333333,6.83333333333333,1,6.5,3.16666666666667,3.875,4.77777777777778,4.88888888888889,1.125,4,1.2,4.42857142857143,4.42857142857143,5.375,2.25,4.44444444444444,NA,NA,NA,NA,5.25,2.75,7,6,"Married",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,73
"No","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","Yes","No","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","Yes","No","No","No","No",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,5,"No","No","No","No","No","Yes","No","No","",2,"Male",47,NA,16,"High scool completed or GED","Lower Middle","40,000-49,999","Democrat","Other","none",1,286,3,9,"No",NA,NA,0,0,"Yes",60,1,0,1,0,0,3,10,3,9,NA,NA,5.33333333333333,6.16666666666667,2,4,5.83333333333333,3.16666666666667,1,NA,NA,3.5,NA,1.5,3.33333333333333,3.11111111111111,4.125,3.3,NA,NA,NA,NA,NA,NA,5.55555555555556,5.33333333333333,1.9,7,3.25,1.25,5.66666666666667,6,"Single",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,71
"No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","Yes","No","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","No","Yes","No","Yes","No","No","No","Yes",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,2,3,0,0,0,0,0,0,0,0,4,"Maybe","No","No","No","No","No","No","No","",2,"Female",58,NA,29,"Bachelors degree","Lower Middle","Decline to answer","Independent","Atheist","",7,190,1,0,"No",NA,NA,0,0,"Yes",20,3,10,3,10,0,1,0,1,0,NA,NA,1.5,1.83333333333333,1.16666666666667,1.66666666666667,6.66666666666667,1.5,0.833333333333333,6.33333333333333,1,1,NA,1.375,4.22222222222222,3.22222222222222,1,2.2,NA,NA,NA,NA,NA,NA,0.944444444444444,1.77777777777778,1.3,2.91666666666667,3.75,4.75,3.66666666666667,2,"Married",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,71
"No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","No","Yes","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,3,7,0,0,7,0,0,5,0,0,5,"No","No","No","No","No","No","No","No","",2,"Male",45,NA,8,"High scool completed or GED","Working","20,000-39,999","Republican","Other","non religious",1,200,3,10,"No",NA,NA,0,0,"Yes",120,1,5,1,0,0,1,5,3,10,NA,NA,5,6.33333333333333,2.66666666666667,1,6,2.83333333333333,1,NA,NA,3,NA,4.125,4.22222222222222,5,1.25,3,NA,NA,NA,NA,NA,NA,0.944444444444444,1,1.1,5.75,6.5,2.25,7,1,"Single",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,70
